source_file,row_count,column_count,original_column_name,normalized_column_name,non_null_count,non_null_percentage,sample_values,inferred_possible_parameter
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,_id,_id,1730,100.0,"[1, 2, 3, 4, 5]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,SlNo,slno,1730,100.0,"[1, 2, 3, 4, 5]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Station,station,1730,100.0,"['Alladupalli', 'Alladupalli', 'Alladupalli', 'Alladupalli', 'Alladupalli']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Agency,agency,1730,100.0,"['CWC', 'CWC', 'CWC', 'CWC', 'CWC']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,State LGD Code,state_lgd_code,1730,100.0,"[28, 28, 28, 28, 28]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,State,state,1730,100.0,"['Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,District LGD Code,district_lgd_code,1730,100.0,"[504, 504, 504, 504, 504]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,District,district,1730,100.0,"['CUDDAPAH', 'CUDDAPAH', 'CUDDAPAH', 'CUDDAPAH', 'CUDDAPAH']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Tehsil,tehsil,1730,100.0,"['CHAPADU', 'CHAPADU', 'CHAPADU', 'CHAPADU', 'CHAPADU']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Block,block,1730,100.0,"['-', '-', '-', '-', '-']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Village,village,1730,100.0,"['-', '-', '-', '-', '-']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,River,river,1730,100.0,"['Pennar', 'Pennar', 'Pennar', 'Pennar', 'Pennar']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Basin,basin,1730,100.0,"['Pennar', 'Pennar', 'Pennar', 'Pennar', 'Pennar']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Tributary,tributary,1730,100.0,"['Kunderu', 'Kunderu', 'Kunderu', 'Kunderu', 'Kunderu']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Subtributary,subtributary,1730,100.0,"['-', '-', '-', '-', '-']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,SubSubtributary,subsubtributary,1730,100.0,"['-', '-', '-', '-', '-']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Local River,local_river,1730,100.0,"['Kunderu', 'Kunderu', 'Kunderu', 'Kunderu', 'Kunderu']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Latitude,latitude,1730,100.0,"[14.71722222, 14.71722222, 14.71722222, 14.71722222, 14.71722222]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Longitude,longitude,1730,100.0,"[78.66861111, 78.66861111, 78.66861111, 78.66861111, 78.66861111]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Data Acquisition Time,data_acquisition_time,1730,100.0,"['02-01-2021 08:00', '01-02-2021 08:00', '02-03-2021 08:00', '01-04-2021 08:00', '03-05-2021 08:00']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,1730,26,Electric Conductivity (mS/cm),electric_conductivity_(ms/cm),1550,89.59537572254335,"[714.4, 978.5, 987.7, 1093.0, 1430.0]",
